"marital","sibs","childs","age","educ","sex","rincome","relig","relig16","year","id"
1,3,1,60,15,1,25000,1,NA,2021,309
3,5,1,NA,16,1,NA,4,NA,2021,310
3,2,3,61,18,1,25000,1,NA,2021,312
1,1,2,61,13,1,25000,1,NA,2021,313
1,1,3,65,13,2,25000,1,NA,2021,314
1,2,1,37,16,2,22500,1,NA,2021,315
3,5,2,65,13,1,12500,2,NA,2021,316
5,2,0,63,15,1,25000,2,NA,2021,317
5,1,4,34,13,2,25000,6,NA,2021,318
3,6,2,65,20,1,13,2,NA,2021,320
1,1,0,NA,16,2,25000,4,NA,2021,321
1,3,2,29,16,2,5500,2,NA,2021,322
1,4,2,67,17,2,NA,4,NA,2021,323
5,5,0,29,16,2,25000,2,NA,2021,324
1,11,0,NA,NA,NA,NA,NA,NA,2021,325
5,1,0,69,17,1,13,3,NA,2021,326
1,3,3,44,16,2,25000,1,NA,2021,327
5,1,0,35,16,1,25000,4,NA,2021,328
1,1,2,57,16,1,7500,4,NA,2021,329
1,4,0,NA,19,2,13,4,NA,2021,330
1,2,2,60,16,2,25000,4,NA,2021,331
1,9,0,66,12,1,25000,4,NA,2021,332
1,1,2,32,18,1,25000,4,NA,2021,333
1,5,3,72,16,1,NA,2,NA,2021,334
3,2,1,NA,15,2,25000,1,NA,2021,335
5,0,0,24,16,1,12500,4,NA,2021,336
1,2,2,57,12,2,17500,2,NA,2021,337
3,2,0,76,13,1,NA,2,NA,2021,338
1,3,1,52,12,2,25000,2,NA,2021,339
3,3,1,64,18,2,1000,1,NA,2021,340
5,2,5,36,14,2,NA,4,NA,2021,341
1,4,0,42,16,1,12500,4,NA,2021,342
1,7,3,39,12,2,NA,4,NA,2021,343
1,2,1,66,16,1,25000,1,NA,2021,344
1,1,2,44,20,2,25000,4,NA,2021,345
1,2,2,63,13,2,25000,1,NA,2021,346
3,5,1,59,12,2,4500,2,NA,2021,348
2,1,0,70,19,2,NA,1,NA,2021,349
1,1,0,59,13,2,NA,2,NA,2021,350
3,6,4,66,12,1,NA,1,NA,2021,351
1,2,1,74,17,2,NA,3,NA,2021,352
1,0,1,80,19,1,NA,2,NA,2021,353
1,0,1,75,19,1,NA,1,NA,2021,354
1,2,2,49,16,1,25000,1,NA,2021,356
1,1,2,42,19,1,25000,1,NA,2021,357
1,4,2,60,15,2,NA,2,NA,2021,358
3,3,0,37,14,2,25000,1,NA,2021,359
1,2,0,37,13,1,3500,4,NA,2021,360
5,3,0,27,13,1,25000,1,NA,2021,361
3,2,3,67,17,2,25000,3,NA,2021,362
3,7,8,73,14,2,NA,2,NA,2021,363
5,3,0,22,16,2,22500,2,NA,2021,364
NA,3,0,NA,16,2,25000,2,NA,2021,365
3,1,4,47,14,1,25000,2,NA,2021,366
1,3,2,59,18,2,NA,1,NA,2021,367
3,5,0,48,14,2,25000,11,NA,2021,368
4,2,1,30,16,2,NA,4,NA,2021,369
3,1,0,65,14,2,9000,3,NA,2021,370
5,1,0,32,14,2,25000,4,NA,2021,371
2,4,2,67,17,2,NA,4,NA,2021,372
1,0,1,34,13,1,25000,4,NA,2021,373
2,3,3,NA,16,2,NA,1,NA,2021,374
1,NA,3,69,18,1,NA,4,NA,2021,375
1,4,0,NA,NA,NA,NA,NA,NA,2021,376
3,5,3,45,12,1,9000,2,NA,2021,377
1,5,2,41,16,1,25000,1,NA,2021,378
1,6,2,51,18,1,25000,4,NA,2021,379
1,0,2,39,18,1,25000,4,NA,2021,380
5,1,1,89,12,1,25000,2,NA,2021,381
1,2,2,70,16,2,NA,1,NA,2021,383
5,4,0,60,14,1,13,10,NA,2021,384
1,9,3,79,19,1,25000,1,NA,2021,385
5,3,0,53,15,1,25000,1,NA,2021,386
NA,NA,1,NA,12,1,13,4,NA,2021,387
1,2,2,64,14,2,NA,1,NA,2021,388
1,3,1,49,16,2,25000,2,NA,2021,389
3,11,3,55,14,2,25000,1,NA,2021,390
1,1,0,42,20,2,25000,4,NA,2021,391
3,4,2,62,14,1,NA,2,NA,2021,392
1,7,3,56,11,2,NA,1,NA,2021,393
1,8,2,44,12,2,25000,1,NA,2021,395
5,4,0,30,14,2,25000,1,NA,2021,396
2,4,4,79,12,1,NA,4,NA,2021,397
5,6,0,65,14,2,25000,4,NA,2021,398
1,4,3,43,9,1,25000,4,NA,2021,399
1,5,1,43,12,2,2000,1,NA,2021,400
5,13,4,31,9,2,5500,11,NA,2021,401
5,7,4,43,13,2,17500,13,NA,2021,402
5,6,3,26,12,2,13,4,NA,2021,403
1,0,1,31,16,2,22500,1,NA,2021,404
3,4,2,64,18,2,25000,1,NA,2021,405
5,1,0,31,14,2,22500,4,NA,2021,406
5,2,0,47,13,1,25000,4,NA,2021,407
5,3,0,27,16,2,25000,4,NA,2021,408
1,3,0,30,15,2,25000,2,NA,2021,409
3,10,2,NA,NA,NA,NA,NA,NA,2021,410
1,2,2,36,17,1,12500,2,NA,2021,411
1,2,0,26,18,2,NA,1,NA,2021,412
1,5,4,45,16,2,9000,1,NA,2021,413
2,2,3,45,18,1,NA,2,NA,2021,414
1,1,2,79,17,2,NA,4,NA,2021,415
5,1,0,25,17,1,2000,5,NA,2021,416
1,2,2,NA,16,NA,NA,1,NA,2021,417
